PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, ,type,title,author,journal,volume,pages,year,publisher
6055,"Wills, L.",1966,no article title available,"Arkiv for Zoologi,","Arkiv for Zoologi,",18,2,129,,, ,article,"A supplement to Gerhard Holm’s “{\""U","Wills, Leonard J","Arkiv f{\""o",2,93--145,1965,
6755,"Hyatt, A.",1872,Fossil Cephalopods of the Museum of Comparative Zoology ,Harvard Univ. Mus. Comp. Zoology Bull.,Harvard Univ. Mus. Comp. Zoology Bull.,5,5,91,9,, ,no result
8956,"Meek, F.B. and A.H. Worthen",1860,no article title available,Acad.Nat.Sci.Philadelphia Proc.,Acad.Nat.Sci.Philadelphia Proc.,12,,386,,, ,no result
8977,"Westermann, G.E.G.",1977,no article title available,"Paleobiology,","Paleobiology,",3,3,304,,, ,article,Hydrodynamic properties of cephalopod shell ornament,"Chamberlain Jr, John A and Westermann, Gerd EG",Paleobiology,,316--331,1976,JSTOR
7940,"Whittard, W.F.",1952,no article title available,"British Mus.(Nat.History)Bull.,Geology","British Mus.(Nat.History)Bull.,Geology",1,10,318,,, ,no result
8718,"Haugh, B.N.",1973,no article title available,"Jour.Paleontology,","Jour.Paleontology,",47,1,86,,, ,no result
1495,"Stumm, E.C.",1964,Silurian and Devonian Corals of the Falls of the Ohio,Geol.Soc.Amer.Mem.93,Geol.Soc.Amer.Mem.93,,,28,,, ,no result
2044,Francis Arthur Bather,1934,"Chelonechinus N.G., A Neogene Urechinid",Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,45,4,808,832,, ,no result
5863,"Gould, S.J.",1994,no article title available,"J. of Paleontology,","J. of Paleontology,",68,5,1034,5,, ,no result
1434,"Shaw, A.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,2,280,,, ,no result
2874,"Sprinkle, J.T.",1973,Morphology and evolution of blastozoan Echinoderms. Special Publication.,Harvard Univ.Mus.Comp.Zoology Spec.Pub.,Harvard Univ.Mus.Comp.Zoology Spec.Pub.,,,154,,, ,no result
4052,"Grabau, A. W.",1904,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,44,1417,117,118,, ,no result
1856,"Whiteley,T.E., Kloc,G.J. and Brett,C.E.",2002,no article title available,Trilobites of New York: An Illustrated Guide,Trilobites of New York: An Illustrated Guide,,,121,,, ,no result
3638,"Rolfe, W.D.I.",1962,no article title available,Paleontology,Paleontology,4,,548,,, ,article,Phyllocarida,"Rolfe, WDI","Treatise on invertebrate paleontology, Part R, Arthropoda",4,R296--R331,1969,
1951,"Clark, T.H.",1919,"A section of the Trenton limestone at Martinsburg, New York",Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,63,1,14,,, ,no result
